"Var1" "Var2" "Copula" "par" "par2"
"1" 1 2 24 -1.01894757416974 NA
"2" 1 3 NA NA NA
"3" 1 4 24 -1.07416388975796 NA
"4" 1 5 24 -1.07095155740287 NA
"5" 1 6 24 -1.04622036773493 NA
"6" 1 7 2 0.313492037066315 24
"7" 1 8 23 -0.50685505489518 NA
"8" 1 9 2 0.386504954403994 24
"9" 1 10 23 -0.000145829824565985 NA
"10" 1 11 23 -0.254835988120072 NA
"11" 1 12 4 1.36682868617608 NA
"12" 1 13 3 0.544802308984478 NA
"13" 1 14 24 -1.05004949614317 NA
"14" 1 15 24 -1.02090073708168 NA
"15" 1 16 2 0.819248555701973 4
"16" 1 17 4 2.35803119537182 NA
"17" 1 18 2 0.836669382708341 5
"18" 1 19 24 -1.10393110839748 NA
"19" 1 20 1 0.356765247862798 NA
"20" 2 3 3 0.657463529544128 NA
"21" 2 4 3 0.42143311986016 NA
"22" 2 5 24 -1.03010797008155 NA
"23" 2 6 NA NA NA
"24" 2 7 23 -0.258229624176972 NA
"25" 2 8 3 0.683993840787689 NA
"26" 2 9 23 -0.825987398840342 NA
"27" 2 10 23 -0.252853169005458 NA
"28" 2 11 3 0.66041206063521 NA
"29" 2 12 23 -0.154080945739519 NA
"30" 2 13 3 0.815435176988826 NA
"31" 2 14 3 0.518581582116638 NA
"32" 2 15 3 0.752564851199292 NA
"33" 2 16 1 0.25576498300427 NA
"34" 2 17 1 0.275369142233732 NA
"35" 2 18 1 0.281439724443275 NA
"36" 2 19 3 0.892194021379771 NA
"37" 2 20 1 0.00915553372926614 NA
"38" 3 4 23 -0.432303803407298 NA
"39" 3 5 3 1.02014843324283 NA
"40" 3 6 3 2.03935226475196 NA
"41" 3 7 3 0.468470468003105 NA
"42" 3 8 4 1.0806498389624 NA
"43" 3 9 2 -0.106397105129985 7
"44" 3 10 23 -0.0883736959614767 NA
"45" 3 11 1 0.221856465627254 NA
"46" 3 12 23 -0.250259362053185 NA
"47" 3 13 1 0.175028672474614 NA
"48" 3 14 3 0.421012538624209 NA
"49" 3 15 23 -0.177523165487177 NA
"50" 3 16 23 -0.00434150863149285 NA
"51" 3 17 23 -0.0598362929375445 NA
"52" 3 18 23 -0.00890532894473318 NA
"53" 3 19 3 0.26019808722176 NA
"54" 3 20 3 0.138604802500659 NA
"55" 4 5 3 0.751481795916173 NA
"56" 4 6 3 0.447192220312943 NA
"57" 4 7 23 -0.170888560291546 NA
"58" 4 8 1 0.374871366492141 NA
"59" 4 9 24 -1.27484450450447 NA
"60" 4 10 NA NA NA
"61" 4 11 1 0.195269167746236 NA
"62" 4 12 23 -0.128956729911881 NA
"63" 4 13 3 0.202952326543527 NA
"64" 4 14 3 0.230989802263357 NA
"65" 4 15 3 0.353741812860444 NA
"66" 4 16 NA NA NA
"67" 4 17 23 -0.241626558888175 NA
"68" 4 18 23 -0.186943462399119 NA
"69" 4 19 1 0.331220918751047 NA
"70" 4 20 NA NA NA
"71" 5 6 3 2.14364282919137 NA
"72" 5 7 23 -0.217020517813644 NA
"73" 5 8 1 0.637196647312661 NA
"74" 5 9 23 -0.648710611965688 NA
"75" 5 10 23 -0.476403576946397 NA
"76" 5 11 1 0.589539366117365 NA
"77" 5 12 23 -0.82855534500831 NA
"78" 5 13 1 0.277341372268556 NA
"79" 5 14 3 0.973705999216574 NA
"80" 5 15 3 2.0765763640573 NA
"81" 5 16 23 -0.3961883531012 NA
"82" 5 17 NA NA NA
"83" 5 18 23 -0.494664553341751 NA
"84" 5 19 1 0.719942418545394 NA
"85" 5 20 3 0.365052005302751 NA
"86" 6 7 1 0.0408060549796819 NA
"87" 6 8 1 0.404311867805131 NA
"88" 6 9 24 -1.25118251008754 NA
"89" 6 10 23 -0.464299736981896 NA
"90" 6 11 1 0.383791375789352 NA
"91" 6 12 23 -0.371733952323132 NA
"92" 6 13 1 0.196268512514686 NA
"93" 6 14 1 0.373761286364715 NA
"94" 6 15 3 3.59084661747674 NA
"95" 6 16 23 -0.550022746157931 NA
"96" 6 17 23 -0.750395665956453 NA
"97" 6 18 23 -0.674203331986073 NA
"98" 6 19 1 0.537142265796183 NA
"99" 6 20 23 -0.377960477593182 NA
"100" 7 8 2 -0.56385211614716 6
"101" 7 9 1 0.523387415416205 NA
"102" 7 10 1 -0.31574786828632 NA
"103" 7 11 23 -0.531825181374034 NA
"104" 7 12 4 1.20363262243584 NA
"105" 7 13 24 -1.0577260271675 NA
"106" 7 14 24 -1.0932974814059 NA
"107" 7 15 24 -1.10771097382421 NA
"108" 7 16 3 0.163719498649849 NA
"109" 7 17 3 0.158594432386113 NA
"110" 7 18 3 0.210115677111065 NA
"111" 7 19 24 -1.23454571029329 NA
"112" 7 20 NA NA NA
"113" 8 9 24 -1.93902275724636 NA
"114" 8 10 NA NA NA
"115" 8 11 2 0.732476327279068 10
"116" 8 12 24 -1.82607898320621 NA
"117" 8 13 1 0.410868119135662 NA
"118" 8 14 1 0.546215084913363 NA
"119" 8 15 1 0.378014220818561 NA
"120" 8 16 23 -0.385496561842739 NA
"121" 8 17 23 -0.66821506476 NA
"122" 8 18 23 -0.462901349506697 NA
"123" 8 19 2 0.769599410903159 12
"124" 8 20 NA NA NA
"125" 9 10 23 -0.000561400870755385 NA
"126" 9 11 23 -1.1609316238378 NA
"127" 9 12 1 0.516705355470209 NA
"128" 9 13 23 -0.392554934026564 NA
"129" 9 14 23 -0.461051834874198 NA
"130" 9 15 23 -0.301948655038272 NA
"131" 9 16 3 0.402820319369255 NA
"132" 9 17 3 0.513921728053812 NA
"133" 9 18 3 0.438750041301599 NA
"134" 9 19 23 -1.45780695767046 NA
"135" 9 20 3 0.37585200132796 NA
"136" 10 11 4 1.06517761824147 NA
"137" 10 12 2 -0.0883431311688303 8
"138" 10 13 23 -0.000145829824565985 NA
"139" 10 14 NA NA NA
"140" 10 15 1 0.111793062596927 NA
"141" 10 16 NA NA NA
"142" 10 17 1 0.134223505259221 NA
"143" 10 18 NA NA NA
"144" 10 19 23 -0.000145829824565985 NA
"145" 10 20 1 0.204972706006892 NA
"146" 11 12 2 -0.872518806172421 9
"147" 11 13 4 1.95795225813187 NA
"148" 11 14 1 0.751514158439575 NA
"149" 11 15 1 0.410408979213786 NA
"150" 11 16 24 -1.05464366145174 NA
"151" 11 17 24 -1.14805221623692 NA
"152" 11 18 24 -1.07942340537985 NA
"153" 11 19 3 2.68973338503972 NA
"154" 11 20 2 0.159826614922083 12
"155" 12 13 24 -1.25651885081184 NA
"156" 12 14 24 -1.79181784150924 NA
"157" 12 15 24 -1.26512919610196 NA
"158" 12 16 4 1.30728556132551 NA
"159" 12 17 4 1.4893065083501 NA
"160" 12 18 4 1.36981477722983 NA
"161" 12 19 24 -1.91304182913243 NA
"162" 12 20 23 -0.266607815660015 NA
"163" 13 14 1 0.513743745996623 NA
"164" 13 15 1 0.24762884002028 NA
"165" 13 16 2 0.403457286084507 7
"166" 13 17 2 0.332761977404544 7
