df,p0,p1,p2,p3,0val,,,
3,-0.1271672,0.565732,0.2685465,0.3056622,0.2271559,,,
4,-0.1305017,0.5061499,0.3037754,0.3342574,0.2392213,,,
5,-0.1349725,0.4825823,0.2975689,0.3686452,0.2561649,,,
6,-0.1419276,0.5057738,0.20625,0.4455798,0.2693458,,,
7,-0.1065668,0.2850159,0.5389285,0.2971074,0.2852881,,,
8,-0.1167436,0.3246369,0.4430627,0.3649101,0.2797396,,,
9,-0.1074784,0.2855684,0.471745,0.3664543,0.2881154,,,
10,-0.1191611,0.3206688,0.4251407,0.3889247,0.283458,,,
11,-0.1574839,0.5098046,0.1136143,0.5507804,0.2956467,,,
12,-0.1460439,0.4432216,0.2056741,0.5142188,0.3078694,,,
13,-0.1447061,0.4198784,0.2473593,0.494041,0.3037651,,,
14,-0.1338265,0.3706358,0.3035288,0.4757879,0.300806,,,
15,-0.1333626,0.341113,0.3674299,0.4407018,0.318631,,,
16,-0.1351103,0.3739309,0.2753967,0.5029914,0.2964087,,,
17,-0.1221088,0.3006355,0.3854308,0.4525973,0.294464,,,
18,-0.1106132,0.2404387,0.4771907,0.4099436,0.3100807,,,
19,-0.1503273,0.4427899,0.1508244,0.5743593,0.2966187,,,
20,-0.1636232,0.5092463,0.04112436,0.6320796,0.3135482,,,
21,-0.138457,0.38047,0.22860678,0.5482633,0.3192197,,,
22,-0.142938,0.3926653,0.22273641,0.5457354,0.3042235,,,
23,-0.1450726,0.3990702,0.2158769,0.5477257,0.3115314,,,
24,-0.1264728,0.3131903,0.33447266,0.4967627,0.3179407,,,
25,-0.135991,0.3427795,0.2982995,0.5128251,0.3200374,,,
26,-0.1141251,0.2425302,0.4324777,0.4567656,0.3114702,,,
27,-0.1520961,0.4334211,0.1469102,0.5900234,0.3127354,,,
28,-0.1582309,0.4674896,0.0916699,0.6170673,0.3232762,,,
29,-0.1520742,0.4484661,0.10026409,0.6221693,0.3176152,,,
30,-0.1518527,0.4504308,0.09525613,0.6250088,0.3118972,,,
